Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
63.954095125198364	38	-22998.514149061943	608.6452264616692	-22389.86892260027	-23607.15937552361	1000.0	0.0	2000	78000
65.4310233592987	39	-24230.67398449119	1347.6147919429022	-22883.059192548288	-25578.288776434092	1000.0	0.0	2000	80000
66.85864591598511	40	-24933.119317420133	43.56640633634197	-24889.552911083792	-24976.685723756476	1000.0	0.0	2000	82000
68.2919270992279	41	-27604.3535866507	640.6773036325758	-26963.676283018125	-28245.030890283277	1000.0	0.0	2000	84000
69.79010796546936	42	-29075.0246687816	272.2106344634303	-28802.81403431817	-29347.23530324503	1000.0	0.0	2000	86000
71.2739565372467	43	-30979.441488777535	283.66348994183136	-30695.777998835703	-31263.104978719366	1000.0	0.0	2000	88000
72.68721652030945	44	-31876.706286327688	1016.5665581855574	-30860.13972814213	-32893.272844513245	1000.0	0.0	2000	90000
74.10847234725952	45	-36965.55512609055	308.6214140835036	-36656.93371200705	-37274.176540174056	1000.0	0.0	2000	92000
75.55938363075256	46	-36510.926557300256	53.06396762053191	-36457.862589679724	-36563.99052492079	1000.0	0.0	2000	94000
76.98678374290466	47	-39341.8018558052	1568.793818833452	-37773.00803697175	-40910.59567463865	1000.0	0.0	2000	96000
78.40153360366821	48	-38294.08198471076	415.35138706194994	-37878.73059764881	-38709.43337177271	1000.0	0.0	2000	98000
79.82769870758057	49	-41044.83030770299	85.84631520888797	-40958.983992494104	-41130.67662291188	1000.0	0.0	2000	100000
81.2909026145935	50	-42411.00128065355	282.386865734763	-42128.61441491879	-42693.388146388315	1000.0	0.0	2000	102000
82.72833251953125	51	-47469.28737758426	975.0143660659924	-46494.27301151827	-48444.301743650256	1000.0	0.0	2000	104000
84.17155385017395	52	-50147.00829961633	412.18276189515746	-49734.825537721175	-50559.19106151149	1000.0	0.0	2000	106000
85.62216401100159	53	-51534.34905840965	939.9817891167404	-50594.36726929291	-52474.33084752639	1000.0	0.0	2000	108000
87.06500792503357	54	-56929.40827062609	1599.0910405274699	-55330.31723009862	-58528.49931115356	1000.0	0.0	2000	110000
88.51244401931763	55	-56636.4287859837	752.1551224352079	-55884.27366354849	-57388.58390841891	1000.0	0.0	2000	112000
89.93713760375977	56	-63158.59042673628	137.12373321695486	-63021.46669351932	-63295.71415995323	1000.0	0.0	2000	114000
91.41232061386108	57	-67598.86198137183	559.306242763967	-67039.55573860786	-68158.16822413579	1000.0	0.0	2000	116000
92.85623669624329	58	-66682.49114188919	2474.9468970334347	-64207.544244855744	-69157.43803892261	1000.0	0.0	2000	118000
94.297682762146	59	-72923.02254333161	541.5057035760838	-72381.51683975552	-73464.52824690769	1000.0	0.0	2000	120000
95.75365209579468	60	-77666.14979277231	3230.327480032727	-74435.82231273958	-80896.47727280503	1000.0	0.0	2000	122000
97.20102381706238	61	-73283.18779297899	3677.431629702085	-69605.7561632769	-76960.61942268108	1000.0	0.0	2000	124000
98.60703301429749	62	-73386.30372372777	3682.103412640994	-69704.20031108678	-77068.40713636877	1000.0	0.0	2000	126000
100.05696392059326	63	-67307.43747944798	757.0182610439297	-66550.41921840406	-68064.45574049192	1000.0	0.0	2000	128000
